security_training,mfa_enabled,password_hygiene,social_media_exposure,sensitive_data_access,policy_awareness,clicked_link,reported_phishing,indicators_identified,risk_level
0,0,Fair,Medium,Limited,Medium,0,1,5,0
1,1,Fair,Medium,High,Medium,0,1,3,0
1,1,Good,Low,Limited,High,1,0,0,0
1,1,Fair,Medium,None,Medium,0,1,4,0
0,1,Fair,Medium,None,High,0,1,1,0
0,1,Good,High,None,Low,1,0,0,2
0,1,Fair,High,Limited,High,0,1,2,0
1,1,Good,Low,Limited,High,0,0,1,0
1,0,Poor,Medium,Limited,Low,0,1,3,1
1,1,Fair,Low,None,Medium,0,0,5,0
0,0,Poor,Medium,None,Low,1,0,0,2
1,1,Poor,Low,Limited,High,1,0,1,1
1,1,Good,Low,Limited,Medium,1,0,0,0
0,0,Poor,Low,None,Medium,0,0,2,1
0,1,Fair,Medium,Limited,Low,0,1,1,0
0,1,Fair,Low,None,Medium,1,0,0,1
0,0,Fair,Medium,High,Low,0,1,5,1
1,1,Good,Medium,High,Medium,0,1,3,0
1,1,Poor,Low,None,Medium,0,1,4,0
0,0,Fair,Medium,None,High,0,1,2,0
1,1,Good,Low,Limited,Medium,0,1,5,0
0,0,Fair,Medium,None,Medium,1,0,1,1
0,1,Good,Medium,Limited,High,1,1,1,1
0,1,Poor,Low,High,High,0,1,4,0
1,1,Fair,Low,Limited,High,0,0,2,0
1,1,Fair,Low,High,Medium,0,1,5,0
0,1,Good,High,Limited,Medium,1,0,0,1
1,1,Good,Medium,None,Low,0,0,3,0
1,1,Fair,Medium,Limited,High,1,0,0,1
0,1,Fair,Medium,Limited,Low,0,1,2,0
1,0,Poor,Low,Limited,Medium,0,0,4,0
0,1,Fair,Medium,None,Medium,0,1,5,0
0,0,Fair,Medium,None,Medium,1,0,0,2
1,0,Good,Low,High,Medium,0,0,4,0
1,0,Fair,Low,None,Low,0,1,4,0
1,1,Fair,Low,High,Medium,0,0,2,0
0,1,Poor,Medium,High,Medium,1,0,1,2
0,1,Poor,High,Limited,High,1,0,0,2
1,0,Fair,Low,Limited,High,0,0,1,0
1,1,Fair,Medium,Limited,High,1,0,1,0
0,1,Good,Low,High,High,0,1,2,0
1,1,Fair,High,None,Medium,0,0,4,0
0,1,Fair,Low,Limited,Low,0,0,5,0
1,1,Poor,Medium,Limited,Medium,0,1,5,0
0,1,Good,Medium,Limited,Medium,1,1,0,1
1,1,Good,Medium,Limited,Medium,1,0,1,1
0,0,Poor,Medium,Limited,Medium,0,1,1,1
1,0,Good,Low,Limited,Medium,0,0,3,0
1,1,Fair,Low,High,Medium,1,0,1,1
0,0,Poor,Low,None,Medium,1,0,0,2
1,1,Fair,Low,High,Low,0,0,1,0
1,1,Fair,Medium,Limited,High,1,0,1,0
1,1,Poor,Low,High,Low,0,1,5,0
1,1,Good,Low,Limited,Low,0,1,3,0
1,1,Good,Medium,Limited,Medium,1,0,1,0
1,1,Fair,High,None,Medium,0,0,4,0
0,1,Fair,Medium,High,Medium,0,0,4,0
0,1,Fair,Low,None,Medium,0,0,2,0
0,1,Fair,Low,High,Medium,1,0,0,1
0,1,Fair,High,High,Medium,1,1,0,1
0,1,Poor,Low,None,High,0,1,2,0
0,1,Fair,Low,None,High,0,0,2,0
1,1,Good,Medium,Limited,Medium,0,1,4,0
0,1,Fair,Medium,None,Medium,0,0,3,0
0,1,Poor,Medium,High,High,0,1,1,0
1,1,Good,Low,None,Low,1,0,0,1
0,0,Fair,Low,None,Medium,0,1,3,0
1,0,Fair,High,High,Medium,0,0,2,0
0,1,Poor,Low,Limited,High,0,1,2,0
1,0,Fair,Medium,High,Low,0,1,2,0
1,0,Good,Medium,Limited,Medium,1,0,0,1
0,0,Fair,Medium,Limited,High,0,1,5,0
0,0,Fair,Low,Limited,Medium,0,1,1,0
1,0,Good,Low,Limited,Low,0,1,2,0
1,1,Good,Medium,Limited,High,0,1,4,0
1,1,Good,High,Limited,Medium,0,0,2,0
1,1,Fair,High,Limited,Medium,0,1,5,0
0,1,Fair,Low,None,Medium,0,1,2,0
0,0,Good,Low,Limited,Medium,0,0,5,0
0,1,Good,High,None,Medium,0,1,2,0
1,1,Poor,Medium,Limited,Low,0,0,4,0
1,0,Poor,High,None,Low,1,0,1,2
0,1,Fair,Low,Limited,High,0,0,4,0
0,1,Good,Medium,Limited,Medium,0,0,5,0
0,1,Fair,Medium,None,Low,0,1,3,0
0,1,Fair,Medium,None,Medium,0,1,4,0
1,1,Poor,Medium,None,High,1,0,1,1
1,0,Fair,Low,Limited,Low,0,1,1,0
1,1,Good,Medium,High,Medium,1,0,1,1
1,0,Fair,Low,None,Low,0,1,2,0
0,1,Good,Medium,Limited,Low,0,1,4,0
1,1,Good,High,Limited,Low,1,1,1,1
1,1,Fair,Low,Limited,High,0,1,3,0
1,1,Fair,High,High,Low,0,1,2,0
1,0,Fair,Low,Limited,Low,0,1,1,0
1,0,Good,Medium,Limited,Medium,1,0,1,1
1,0,Fair,High,None,High,0,0,2,1
1,0,Fair,Low,None,Medium,1,0,1,1
0,1,Good,Low,None,Medium,0,1,4,0
0,1,Fair,Medium,None,Low,1,0,1,2
0,0,Good,Low,Limited,Medium,0,1,2,0
1,1,Fair,Medium,Limited,Medium,1,0,1,1
0,1,Poor,High,Limited,Medium,0,0,2,0
1,1,Fair,Medium,None,Medium,1,0,0,1
1,1,Good,Low,None,Medium,0,1,2,0
0,0,Fair,Medium,Limited,Low,0,1,5,0
1,1,Good,Medium,High,Medium,0,0,3,0
1,1,Good,Low,None,Low,0,1,1,0
0,1,Fair,Medium,High,High,0,1,3,0
